Year,Area,Chinook,Sockeye,Coho,Pink,Chum
1977,Kodiak,585,623468,27920,6252405,1072313
1978,Kodiak,3228,1071782,48795,15004065,814345
1979,Kodiak,1907,630756,140629,11285809,358336
1980,Kodiak,529,651394,139154,17290615,1075557
1981,Kodiak,1418,1288949,121544,10336747,1345313
1982,Kodiak,1214,1203787,344823,8089780,1262587
1983,Kodiak,3839,1231989,157612,4603371,1085165
1984,Kodiak,4657,1950439,229524,10844293,649092
1985,Kodiak,4970,1842731,284166,7334825,430757
1986,Kodiak,4381,3188046,168690,11807727,1134372
1987,Kodiak,4613,1794224,192433,4920365,680994
1988,Kodiak,22374,2698349,303267,14262355,1426400
1989,Kodiak,106,1289511,2599,6825124,19972
1990,Kodiak,18808,5247569,293819,5983812,577748
1991,Kodiak,22234,5702754,324860,16642836,1029057
1992,Kodiak,24299,4166762,280085,3310639,679540
1993,Kodiak,41029,4377523,313467,34019390,588328
1994,Kodiak,22576,2876878,296311,8162564,738851
1995,Kodiak,18704,4487568,307795,42849294,1522786
1996,Kodiak,13071,4968954,201836,3486930,543729
1997,Kodiak,18728,2503423,381005,11035023,520264
1998,Kodiak,17341,3623031,425143,22062465,316107
1999,Kodiak,18299,4650738,296979,11898307,913817
2000,Kodiak,12293,2905403,332998,9927374,1194414
2001,Kodiak,23827,2657601,407977,19567052,1053691
2002,Kodiak,19263,1824848,496073,18327818,650144
2003,Kodiak,18531,4041886,339457,14065615,1151757
2004,Kodiak,28899,4165880,489871,21440641,1121855
2005,Kodiak,14411,3047142,396030,30139434,477416
2006,Kodiak,20283,1583876,553524,31693347,1081989
2007,Kodiak,17222,2012564,356063,24809213,728912
2008,Kodiak,17176,1819143,300793,8788655,908035
2009,Kodiak,7219,1726971,288744,27648943,955808
2010,Kodiak,14550,1436606,266431,8864796,734806
2011,Kodiak,18454,2266651,188474,16642402,823202
2012,Kodiak,14785,2232441,208514,16873244,866381
2013,Kodiak,34028,2573757,268799,28192164,794054
2014,Kodiak,8382,3259037,472035,10674898,336572
2015,Kodiak,8087,3097344,396145,33024992,770539
2016,Kodiak,7478,2063566,206542,3280808,403881
2017,Kodiak,7101,2476502,366395,27103276,1891299
2018,Kodiak,3895,1820350,438065,5946894,463834
2019,Kodiak,7371,2176572,393812,32973151,547178
2020,Kodiak,8000,1524000,441000,21551000,368000
2021,Kodiak,8962,3290941,306329,26176895,409339
2022,,,2260000,,,
