"stock_id","brood_yr","stock","jurisdiction","region","ocean_region","sub_region","lat","lon","recruits","spawners","R_ocean_1","R_ocean_2","R_ocean_3","R_ocean_4","R_ocean_5","R0.1","R0.2","R0.3","R0.4","R0.5","R1.1","R1.2","R1.3","R1.4","R1.5","R2.1","R2.2","R2.3","R2.4","R3.1","R3.2","R3.3","R3.4","R4.1","R4.2","R4.3","R2.5"
102,1984,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,242040,21868,252,212252,29536,0,0,0,0,0,0,0,240,209867,29536,0,0,12,2385,0,0,0,0,0,0,0,0,0,0
102,1985,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,1208877,116610,2414,1180406,26057,0,0,0,0,0,0,0,2414,1179879,26057,0,0,0,527,0,0,0,0,0,0,0,0,0,0
102,1986,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,145942,15219,56,128283,17603,0,0,0,0,0,0,0,56,128280,17603,0,0,0,3,0,0,0,0,0,0,0,0,0,0
102,1987,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,525920,75970,8,494847,31065,0,0,0,0,0,0,0,8,494847,31065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1988,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,379932,88069,33,319342,60557,0,0,0,0,0,0,0,33,319342,59894,0,0,0,0,663,0,0,0,0,0,0,0,0,0
102,1989,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,1138789,211039,420,1092437,45932,0,0,0,0,0,0,0,420,1091749,45932,0,0,0,688,0,0,0,0,0,0,0,0,0,0
102,1990,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,166086,47063,2,156963,9121,0,0,0,0,0,0,0,2,156963,9121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1991,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,144459,85454,514,129364,14581,0,0,0,0,0,0,0,514,129192,14581,0,0,0,172,0,0,0,0,0,0,0,0,0,0
102,1992,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,100376,36564,10,80797,19569,0,0,0,0,0,0,0,10,80797,19569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1993,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,1814783,386816,847,1652166,161770,0,0,0,0,0,0,0,847,1652166,161770,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1994,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,29030,14498,6,27990,1034,0,0,0,0,0,0,0,6,27990,1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1995,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,189600,57322,20,170595,18985,0,0,0,0,0,0,0,20,170595,18985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1996,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,464146,41063,0,359206,104940,0,0,0,0,0,0,0,0,359206,104940,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1997,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,147572,73417,1,109450,38121,0,0,0,0,0,0,0,1,109249,38121,0,0,0,201,0,0,0,0,0,0,0,0,0,0
102,1998,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,28692,9375,2,24341,4349,0,0,0,0,0,0,0,2,24341,4349,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1999,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,30566,8189,0,25927,4639,0,0,0,0,0,0,0,0,25927,4639,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2000,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,135874,35334,0,132457,3417,0,0,0,0,0,0,0,0,132457,3417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2001,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,252006,82849,5,216279,35722,0,0,0,0,0,0,0,5,216279,35722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2002,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,24585,12939,0,20266,4319,0,0,0,0,0,0,0,0,20266,4300,0,0,0,0,19,0,0,0,0,0,0,0,0,0
102,2003,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,10031,6932,0,8443,1588,0,0,0,0,0,0,0,0,8431,1588,0,0,0,12,0,0,0,0,0,0,0,0,0,0
102,2004,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,37464,5253,0,32387,5077,0,0,0,0,0,0,0,0,32387,5077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2005,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,85031,51183,49,77139,7843,0,0,0,0,0,0,0,49,76119,7843,0,0,0,1020,0,0,0,0,0,0,0,0,0,0
102,2006,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,106616,15914,0,96013,10603,0,0,0,0,0,0,0,0,96013,10603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2007,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,10697,2376,0,10551,146,0,0,0,0,0,0,0,0,10551,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2008,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,193080,14446,1,183921,9158,0,0,0,0,0,0,0,1,183791,9158,0,0,0,130,0,0,0,0,0,0,0,0,0,0
102,2009,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,202893,21884,3,172777,30113,0,0,0,0,0,0,0,3,172777,30113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2010,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,218343,34198,53,191812,26478,0,0,0,0,0,0,0,53,191812,26478,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2011,"Early Stuart","BC","Fraser River","WC","Fraser Early Stuart",49.12,-123.06,3364,233,3,2626,735,0,0,0,0,0,0,0,3,2258,735,0,0,0,368,0,0,0,0,0,0,0,0,0,0
103,1950,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,75548,7298,550,65365,9633,0,0,0,0,0,0,0,550,65365,9633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
